Order Number,Purchase Confirmation Date
"20,170,920,167,495,600,000",20171003
"20,170,926,177,221,000,000",20171001
"20,170,928,181,523,600,000",20171004
"20,170,916,160,583,400,000",20170916
"20,170,904,132,759,400,000",20170908
"20,170,922,169,972,100,000",20170925
"20,170,831,125,137,200,000",20170906
"20,170,926,176,134,700,000",20170930
"20,170,927,178,624,400,000",20171006
"20,171,011,200,676,700,000",20171018
"20,171,005,190,439,500,000",20171009
"20,171,006,192,442,500,000",20171006
"20,171,020,213,652,400,000",20171026
"20,171,029,225,578,700,000",20171029
"20,171,007,193,733,400,000",20171007
"20,171,026,221,134,000,000",20171028
"20,171,024,219,053,000,000",20171025
"20,171,022,216,724,400,000",20171026
"20,171,025,219,796,400,000",20171031
"20,171,029,225,490,900,000",20171029
"20,171,030,226,330,700,000",20171104
"20,171,027,223,379,400,000",20171027
"20,170,927,179,296,700,000",20171006
"20,171,027,223,295,600,000",20171027
"20,171,024,218,569,200,000",20171031
"20,171,026,221,837,000,000",20171102
"20,171,029,225,719,600,000",20171108
"20,171,017,210,208,200,000",20171024
"20,171,006,192,044,800,000",20171012
"20,171,006,192,226,700,000",20171006
"20,171,010,199,596,500,000",20171010
"20,171,021,214,995,200,000",20171031
"20,171,005,191,795,500,000",20171011
"20,171,017,209,130,400,000",20171017
"20,171,002,186,722,300,000",20171005
"20,171,018,210,440,800,000",20171108
"20,171,027,222,634,000,000",20171027
"20,170,706,918,627,600,000",20170710
"20,170,720,992,357,000,000",20170823
"20,170,709,940,486,300,000",20170713
"20,170,706,922,063,500,000",20170711
"20,170,728,027,890,700,000",20170728
"20,170,725,012,175,900,000",20170725
"20,170,717,980,304,400,000",20170717
"20,170,703,901,933,300,000",20170703
"20,170,709,937,938,700,000",20170714
"20,170,727,021,475,700,000",20170803
"20,170,702,898,308,500,000",20170707
"20,170,707,929,151,300,000",20170707
"20,170,714,968,595,600,000",20170714
"20,170,710,946,942,300,000",20170710
"20,170,715,971,650,500,000",20170725
"20,170,702,895,955,400,000",20170705
"20,170,728,028,015,200,000",20170802
"20,170,719,990,789,900,000",20170719
"20,170,707,927,322,900,000",20170707
"20,170,707,931,297,900,000",20170707
"20,170,709,940,215,600,000",20170714
"20,170,723,004,797,900,000",20170723
"20,170,701,889,692,300,000",20170706
"20,170,714,966,680,900,000",20170718
"20,170,713,961,263,500,000",20170713
"20,170,710,943,113,400,000",20170710
"20,170,727,022,550,700,000",20170727
"20,170,724,008,042,500,000",20170725
"20,170,708,935,279,500,000",20170711
"20,170,704,907,993,800,000",20170711
"20,170,724,006,946,600,000",20170724
"20,170,706,919,116,600,000",20170712
"20,170,701,888,374,800,000",20170707
"20,170,728,027,157,300,000",20170728
"20,170,719,990,805,300,000",20170726
"20,170,710,944,601,400,000",20170719
"20,170,715,971,970,600,000",20170715
"20,170,717,978,204,600,000",20170717
"20,170,715,970,439,100,000",20170718
"20,170,702,898,252,400,000",20170708
"20,170,721,996,117,000,000",20170726
"20,170,727,023,296,400,000",20170727
"20,170,704,911,707,900,000",20170704
"20,170,709,939,491,400,000",20170712
"20,170,715,973,906,000,000",20170716
"20,170,728,025,706,000,000",20170802
"20,170,702,896,390,500,000",20170708
"20,170,719,987,474,800,000",20170726
"20,170,706,922,320,100,000",20170706
"20,170,706,922,653,600,000",20170706
"20,170,729,030,337,100,000",20170729
"20,170,821,101,658,500,000",20170826
"20,170,828,116,351,400,000",20170906
"20,170,813,080,462,700,000",20170813
"20,170,820,097,533,500,000",20170820
"20,170,823,106,464,200,000",20170829
"20,170,802,047,646,500,000",20170802
"20,170,811,075,671,500,000",20170811
"20,170,805,056,754,000,000",20170808
"20,170,831,124,299,200,000",20170831
"20,170,823,106,070,100,000",20170823
"20,170,810,073,835,400,000",20170810
"20,170,817,092,082,100,000",20170824
"20,170,827,115,683,800,000",20170905
"20,170,815,086,485,500,000",20170819
"20,170,817,092,186,900,000",20170817
"20,170,804,054,271,300,000",20170804
"20,170,804,055,001,300,000",20170804
"20,170,807,064,601,500,000",20170807
"20,170,807,062,774,100,000",20170807
"20,170,830,122,694,400,000",20170904
"20,170,803,051,309,600,000",20170809
"20,170,822,103,651,900,000",20170823
"20,170,807,063,288,900,000",20170807
"20,170,818,095,364,900,000",20170818
"20,170,801,042,864,900,000",20170809
"20,170,808,067,319,200,000",20170808
"20,170,808,065,956,700,000",20170808
"20,170,816,089,526,200,000",20170819
"20,170,824,109,628,900,000",20170824
"20,170,826,114,417,800,000",20170826
"20,170,808,066,197,000,000",20170815
"20,170,818,093,358,100,000",20170818
"20,170,803,048,125,300,000",20170808
"20,170,811,077,449,900,000",20170811
"20,170,814,083,278,100,000",20170817
"20,170,813,080,914,700,000",20170819
"20,170,823,107,285,200,000",20170826
"20,170,811,077,445,800,000",20170811
"20,170,801,041,690,700,000",20170801
"20,170,814,085,149,700,000",20170814
"20,170,820,098,128,700,000",20170820
"20,170,731,037,310,100,000",20170812
"20,170,808,065,223,100,000",20170808
"20,170,829,120,537,500,000",20170829
"20,170,826,114,060,300,000",20170826
"20,170,811,077,064,200,000",20170812
"20,170,802,045,414,600,000",20170802
